,Type,Sex,Size,Age,Outcome Type,Intake Condition,First_Color,Second_Color,First Breed,Second Breed
14573,CAT,Male,SMALL,0.11,ADOPTION,HEALTHY,GRAY,,DOMESTIC SH,
14575,CAT,Male,SMALL,0.17,ADOPTION,TREATABLE/REHAB,GRAY,,DOMESTIC SH,
14577,CAT,Male,KITTN OR PUPPY,0.16,EUTHANIZE,UNTREATABLE,WHITE,GRAY,DOMESTIC MH,
14578,CAT,Male,KITTN OR PUPPY,0.2,ADOPTION,HEALTHY,ORG TABBY,,DOMESTIC SH,
14582,CAT,Female,KITTN OR PUPPY,0.14,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
14585,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
14588,CAT,Female,KITTN OR PUPPY,0.08,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
14592,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
14593,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,WHITE,Other,DOMESTIC SH,
14594,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
14595,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
14596,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,WHITE,Other,DOMESTIC SH,
14601,CAT,Female,SMALL,0.32,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
14602,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,WHITE,BRN TABBY,DOMESTIC SH,
14603,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,WHITE,BRN TABBY,DOMESTIC SH,
14604,CAT,Unknown,MED,1.98,EUTHANIZE,UNTREATABLE,ORG TABBY,,DOMESTIC SH,
14605,CAT,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,BRN TABBY,,DOMESTIC SH,
14606,CAT,Unknown,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
14607,DOG,Male,KITTN OR PUPPY,0.12,ADOPTION,HEALTHY,BLACK,,PIT BULL,MIX
14610,CAT,Female,KITTN OR PUPPY,0.21,ADOPTION,HEALTHY,CALICO,,DOMESTIC MH,
14612,CAT,Female,KITTN OR PUPPY,0.21,ADOPTION,HEALTHY,CALICO,,DOMESTIC LH,
14613,DOG,Male,KITTN OR PUPPY,0.12,ADOPTION,HEALTHY,BROWN,,PIT BULL,MIX
14616,CAT,Female,KITTN OR PUPPY,0.21,ADOPTION,HEALTHY,TORTIE,,DOMESTIC SH,
14623,CAT,Unknown,SMALL,1.98,EUTHANIZE,HEALTHY,WHITE,BLACK,DOMESTIC SH,
14626,CAT,Male,KITTN OR PUPPY,0.15,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC MH,
14627,CAT,Female,KITTN OR PUPPY,0.15,ADOPTION,HEALTHY,Other,,DOMESTIC MH,
14628,CAT,Unknown,SMALL,1.98,EUTHANIZE,HEALTHY,BLACK,,DOMESTIC SH,
14630,CAT,Male,KITTN OR PUPPY,0.15,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC MH,
14638,CAT,Male,KITTN OR PUPPY,0.15,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC MH,
14641,CAT,Male,KITTN OR PUPPY,0.15,ADOPTION,HEALTHY,Other,,DOMESTIC MH,
14642,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,WHITE,GRAY,DOMESTIC SH,
14643,DOG,Female,SMALL,7.07,ADOPTION,HEALTHY,BROWN,,CHIHUAHUA SH,
14646,CAT,Male,SMALL,1.98,ADOPTION,HEALTHY,WHITE,GRAY,DOMESTIC SH,
14651,DOG,Male,KITTN OR PUPPY,0.12,ADOPTION,HEALTHY,Other,,PIT BULL,MIX
14652,DOG,Male,LARGE,1.98,EUTHANIZE,UNTREATABLE,WHITE,BLACK,SIBERIAN HUSKY,LABRADOR RETR
14656,DOG,Male,MED,1.0,EUTHANIZE,UNTREATABLE,Other,,Other,
14657,CAT,Female,SMALL,1.98,ADOPTION,HEALTHY,WHITE,Other,DOMESTIC SH,
14666,CAT,Unknown,SMALL,1.98,EUTHANIZE,HEALTHY,Other,,Other,
14670,CAT,Unknown,SMALL,1.98,EUTHANIZE,TREATABLE/REHAB,Other,,DOMESTIC LH,
14675,DOG,Male,LARGE,1.98,EUTHANIZE,UNTREATABLE,TAN,BLACK,GERM SHEPHERD,
14678,CAT,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,ORG TABBY,,DOMESTIC MH,
14685,CAT,Female,SMALL,1.98,EUTHANIZE,TREATABLE/REHAB,GRAY,,DOMESTIC SH,
14686,CAT,Male,MED,1.0,EUTHANIZE,HEALTHY,Other,,DOMESTIC SH,
14687,CAT,Unknown,SMALL,1.98,EUTHANIZE,HEALTHY,BRN TABBY,,DOMESTIC SH,
14688,DOG,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,TAN,PARSON RUSS TER,CHIHUAHUA SH
14692,CAT,Female,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
14694,CAT,Male,KITTN OR PUPPY,0.29,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
14701,CAT,Female,KITTN OR PUPPY,0.29,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
14702,CAT,Male,KITTN OR PUPPY,0.29,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC SH,
14703,CAT,Female,SMALL,1.98,EUTHANIZE,HEALTHY,WHITE,Other,DOMESTIC SH,
14707,CAT,Male,SMALL,14.01,EUTHANIZE,HEALTHY,BLACK,,DOMESTIC SH,
14716,CAT,Female,SMALL,8.01,EUTHANIZE,HEALTHY,WHITE,BLACK,DOMESTIC LH,
14717,CAT,Male,SMALL,2.0,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC SH,
14719,DOG,Male,LARGE,2.96,ADOPTION,HEALTHY,BR BRINDLE,,PIT BULL,
14730,DOG,Female,MED,2.74,EUTHANIZE,UNTREATABLE,TAN,BLACK,GERM SHEPHERD,
14731,CAT,Female,SMALL,1.0,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC SH,
14734,CAT,Female,SMALL,1.0,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
14736,CAT,Female,SMALL,3.0,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
14746,DOG,Male,LARGE,6.0,ADOPTION,TREATABLE/MANAGEABLE,WHITE,TAN,PIT BULL,AUST CATTLE DOG
14748,DOG,Female,LARGE,4.41,ADOPTION,TREATABLE/MANAGEABLE,WHITE,BLACK,PIT BULL,MIX
14749,DOG,Male,LARGE,1.98,EUTHANIZE,UNTREATABLE,GRAY,,PIT BULL,
14751,CAT,Female,KITTN OR PUPPY,0.3,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
14752,CAT,Female,KITTN OR PUPPY,0.25,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC SH,
14753,CAT,Female,SMALL,13.96,ADOPTION,HEALTHY,LYNX PT,,SIAMESE,MIX
14754,CAT,Male,SMALL,12.84,ADOPTION,TREATABLE/MANAGEABLE,WHITE,BLACK,DOMESTIC LH,
14756,CAT,Female,KITTN OR PUPPY,0.25,ADOPTION,HEALTHY,TORTIE,,DOMESTIC SH,
14757,DOG,Female,MED,2.45,ADOPTION,TREATABLE/MANAGEABLE,Other,,Other,
14758,CAT,Female,KITTN OR PUPPY,0.25,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
14759,DOG,Male,LARGE,3.0,ADOPTION,TREATABLE/MANAGEABLE,WHITE,BROWN,PIT BULL,
14761,DOG,Male,MED,4.5,EUTHANIZE,UNTREATABLE,WHITE,Other,PIT BULL,BOXER
14762,DOG,Male,LARGE,1.98,EUTHANIZE,UNTREATABLE,GRAY,,PIT BULL,MIX
14763,DOG,Male,SMALL,15.01,EUTHANIZE,UNTREATABLE,WHITE,BROWN,CHIHUAHUA SH,
14764,DOG,Male,LARGE,4.0,EUTHANIZE,UNTREATABLE,TAN,BLACK,ROTTWEILER,
14765,DOG,Male,LARGE,4.0,EUTHANIZE,UNTREATABLE,TAN,BLACK,ROTTWEILER,
14767,DOG,Female,MED,1.47,ADOPTION,HEALTHY,TAN,BLACK,PARSON RUSS TER,MIX
14770,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,TREATABLE/REHAB,WHITE,BRN TABBY,DOMESTIC SH,
14771,CAT,Female,KITTN OR PUPPY,0.32,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
14772,CAT,Unknown,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,GRAY,DOMESTIC SH,
