,Type,Sex,Size,Age,Outcome Type,Intake Condition,First_Color,Second_Color,First Breed,Second Breed
4690,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,TORTIE,,DOMESTIC SH,
4691,DOG,Male,TOY,2.97,ADOPTION,HEALTHY,Other,,CHIHUAHUA SH,
4693,DOG,Female,SMALL,13.01,EUTHANIZE,UNTREATABLE,TAN,BLACK,MIX,Other
4694,CAT,Male,LARGE,12.0,EUTHANIZE,UNTREATABLE,WHITE,Other,DOMESTIC MH,
4700,DOG,Female,MED,1.98,EUTHANIZE,TREATABLE/MANAGEABLE,TAN,,PIT BULL,
4701,DOG,Male,LARGE,0.81,ADOPTION,HEALTHY,WHITE,BLACK,Other,BORDER COLLIE
4713,CAT,Male,SMALL,1.13,ADOPTION,HEALTHY,GRAY,,DOMESTIC SH,
4714,CAT,Female,KITTN OR PUPPY,0.31,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
4717,DOG,Male,LARGE,1.66,EUTHANIZE,HEALTHY,BLACK,,LABRADOR RETR,GERM SHEPHERD
4718,CAT,Female,SMALL,2.78,EUTHANIZE,HEALTHY,WHITE,BRN TABBY,DOMESTIC SH,
4719,CAT,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,ORG TABBY,,DOMESTIC MH,
4722,DOG,Female,MED,0.8,ADOPTION,HEALTHY,WHITE,Other,AUST CATTLE DOG,MIX
4723,CAT,Male,KITTN OR PUPPY,0.2,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC LH,
4726,CAT,Female,SMALL,1.98,EUTHANIZE,TREATABLE/REHAB,CALICO,,DOMESTIC MH,
4727,DOG,Female,MED,0.94,ADOPTION,HEALTHY,WHITE,TAN,CHIHUAHUA SH,MIX
4729,CAT,Male,KITTN OR PUPPY,0.2,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC SH,
4731,CAT,Male,SMALL,2.86,EUTHANIZE,HEALTHY,WHITE,BLACK,DOMESTIC SH,
4733,CAT,Male,KITTN OR PUPPY,0.2,ADOPTION,HEALTHY,WHITE,Other,DOMESTIC SH,
4734,CAT,Female,KITTN OR PUPPY,0.13,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
4736,CAT,Female,KITTN OR PUPPY,0.2,EUTHANIZE,HEALTHY,GRAY TABBY,,DOMESTIC SH,
4737,CAT,Male,KITTN OR PUPPY,0.2,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC SH,
4738,DOG,Male,MED,1.98,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,,PIT BULL,
4743,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
4745,DOG,Male,LARGE,0.9,ADOPTION,HEALTHY,WHITE,BLACK,PIT BULL,LABRADOR RETR
4748,CAT,Male,SMALL,8.01,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC LH,
4749,CAT,Female,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC MH,
4750,CAT,Male,KITTN OR PUPPY,0.07,ADOPTION,TREATABLE/REHAB,ORG TABBY,,DOMESTIC SH,
4754,CAT,Male,KITTN OR PUPPY,0.08,ADOPTION,TREATABLE/REHAB,BRN TABBY,,DOMESTIC SH,
4755,DOG,Female,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,,Other,
4756,DOG,Male,MED,1.98,EUTHANIZE,UNTREATABLE,WHITE,BLACK,PIT BULL,
4759,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
4760,CAT,Male,SMALL,11.98,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC SH,
4761,CAT,Unknown,SMALL,1.98,EUTHANIZE,HEALTHY,TAN,,DOMESTIC MH,
4762,DOG,Male,LARGE,1.98,EUTHANIZE,UNTREATABLE,TAN,BLACK,Other,
4763,CAT,Unknown,SMALL,1.98,EUTHANIZE,TREATABLE/MANAGEABLE,BLACK,,DOMESTIC SH,
4764,DOG,Male,LARGE,1.98,EUTHANIZE,UNTREATABLE,TAN,BLACK,Other,
4765,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
4766,CAT,Female,KITTN OR PUPPY,0.07,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC SH,
4767,CAT,Female,KITTN OR PUPPY,0.18,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
4769,CAT,Female,KITTN OR PUPPY,0.07,ADOPTION,HEALTHY,GRAY,Other,DOMESTIC SH,
4770,CAT,Female,KITTN OR PUPPY,0.08,ADOPTION,TREATABLE/REHAB,WHITE,BRN TABBY,DOMESTIC SH,
4773,CAT,Female,SMALL,2.96,ADOPTION,HEALTHY,TORTIE,,DOMESTIC LH,
4774,DOG,Male,MED,1.85,ADOPTION,HEALTHY,Other,,Other,
4775,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
4776,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
4778,CAT,Male,SMALL,2.0,EUTHANIZE,UNTREATABLE,WHITE,Other,DOMESTIC LH,
4782,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,ORG TABBY,,DOMESTIC SH,
4783,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,ORG TABBY,,DOMESTIC SH,
4784,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,Other,,SIAMESE,MIX
4786,DOG,Male,SMALL,1.0,ADOPTION,HEALTHY,TAN,,CHIHUAHUA SH,
4790,DOG,Male,LARGE,2.97,EUTHANIZE,HEALTHY,WHITE,GRAY,PIT BULL,
4792,CAT,Female,KITTN OR PUPPY,0.09,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC MH,
4794,CAT,Male,KITTN OR PUPPY,0.09,ADOPTION,HEALTHY,BLACK,,DOMESTIC MH,
4795,CAT,Female,KITTN OR PUPPY,0.21,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
4796,CAT,Male,KITTN OR PUPPY,0.09,ADOPTION,HEALTHY,WHITE,Other,DOMESTIC SH,
4801,DOG,Female,LARGE,2.9,ADOPTION,HEALTHY,WHITE,TAN,PIT BULL,
4804,CAT,Female,KITTN OR PUPPY,0.21,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
4807,DOG,Male,MED,0.93,ADOPTION,HEALTHY,WHITE,BLACK,MIX,Other
4808,DOG,Female,LARGE,2.0,EUTHANIZE,HEALTHY,BR BRINDLE,BLUE,PIT BULL,
4809,DOG,Male,MED,1.98,EUTHANIZE,UNTREATABLE,Other,,Other,
4810,DOG,Female,MED,0.58,ADOPTION,HEALTHY,TAN,,Other,AUST CATTLE DOG
4812,CAT,Female,SMALL,1.87,ADOPTION,TREATABLE/REHAB,BROWN,BLACK,DOMESTIC MH,
4813,CAT,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC LH,
4814,DOG,Female,KITTN OR PUPPY,0.5,ADOPTION,HEALTHY,WHITE,BR BRINDLE,PIT BULL,
4816,DOG,Female,LARGE,1.95,ADOPTION,HEALTHY,TAN,BLACK,Other,
4820,DOG,Male,LARGE,2.55,EUTHANIZE,UNTREATABLE,BR BRINDLE,,PIT BULL,MIX
4825,CAT,Female,KITTN OR PUPPY,1.98,EUTHANIZE,TREATABLE/REHAB,BRN TABBY,,DOMESTIC MH,
4826,CAT,Male,KITTN OR PUPPY,0.04,ADOPTION,TREATABLE/REHAB,WHITE,BLACK,DOMESTIC MH,
4827,DOG,Female,LARGE,4.31,EUTHANIZE,UNTREATABLE,BROWN,BLACK,GERM SHEPHERD,MIX
4829,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,Other,,DOMESTIC SH,
4830,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,Other,,DOMESTIC SH,
4831,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,Other,,DOMESTIC SH,
4832,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,Other,,DOMESTIC SH,
4833,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,Other,,DOMESTIC SH,
4836,CAT,Female,KITTN OR PUPPY,0.15,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC MH,
4837,DOG,Male,SMALL,1.5,ADOPTION,HEALTHY,BROWN,,SCHNAUZER MIN,
4838,DOG,Female,SMALL,4.38,ADOPTION,HEALTHY,WHITE,BLACK,Other,
4841,CAT,Male,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,BRN TABBY,,DOMESTIC SH,
4842,CAT,Female,SMALL,12.01,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC SH,
4843,DOG,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,Other,POODLE MIN,Other
4845,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC MH,
4847,DOG,Female,SMALL,3.0,ADOPTION,HEALTHY,WHITE,,MALTESE,
4848,DOG,Male,SMALL,3.0,ADOPTION,HEALTHY,WHITE,,Other,
4851,DOG,Male,TOY,1.5,ADOPTION,TREATABLE/REHAB,TAN,BLACK,CHIHUAHUA SH,MIX
4854,DOG,Male,LARGE,0.96,EUTHANIZE,UNTREATABLE,BROWN,BLACK,DOBERMAN PINSCH,MIX
4855,CAT,Female,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
4857,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,TORTIE,BRN TABBY,DOMESTIC SH,
4860,DOG,Female,SMALL,2.96,ADOPTION,TREATABLE/REHAB,TAN,BLACK,YORKSHIRE TERR,MIX
4861,CAT,Male,KITTN OR PUPPY,0.25,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
4865,CAT,Male,KITTN OR PUPPY,0.25,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
4867,DOG,Male,SMALL,0.15,ADOPTION,TREATABLE/REHAB,TAN,BROWN,YORKSHIRE TERR,CHIHUAHUA SH
4868,CAT,Male,KITTN OR PUPPY,0.25,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC SH,
4869,CAT,Female,SMALL,2.0,ADOPTION,HEALTHY,TORTIE,,DOMESTIC SH,
4870,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC SH,
4873,DOG,Male,MED,12.01,EUTHANIZE,TREATABLE/REHAB,WHITE,BR BRINDLE,PIT BULL,
4874,DOG,Male,SMALL,3.5,ADOPTION,HEALTHY,WHITE,,CHIHUAHUA LH,Other
4876,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
4879,DOG,Female,SMALL,0.75,ADOPTION,HEALTHY,TAN,TAN,YORKSHIRE TERR,MIX
4883,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
4884,CAT,Male,KITTN OR PUPPY,0.25,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
4886,CAT,Male,SMALL,13.0,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC SH,
4889,CAT,Male,KITTN OR PUPPY,0.0,EUTHANIZE,TREATABLE/REHAB,WHITE,BLACK,DOMESTIC SH,
4890,CAT,Unknown,KITTN OR PUPPY,0.0,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,BLACK,DOMESTIC SH,
4891,CAT,Male,KITTN OR PUPPY,0.0,EUTHANIZE,TREATABLE/REHAB,WHITE,BLACK,DOMESTIC SH,
4901,CAT,Male,SMALL,6.97,ADOPTION,HEALTHY,Other,,Other,
4904,DOG,Male,MED,1.0,EUTHANIZE,UNTREATABLE,WHITE,TAN,PIT BULL,
4906,CAT,Female,KITTN OR PUPPY,0.0,ADOPTION,TREATABLE/REHAB,WHITE,BLACK,DOMESTIC SH,
4908,CAT,Female,KITTN OR PUPPY,0.0,ADOPTION,TREATABLE/REHAB,WHITE,BLACK,DOMESTIC SH,
4910,DOG,Female,MED,8.01,EUTHANIZE,TREATABLE/MANAGEABLE,TAN,,Other,
4911,DOG,Male,SMALL,0.76,ADOPTION,HEALTHY,Other,,POMERANIAN,MIX
4916,DOG,Female,MED,1.98,EUTHANIZE,UNTREATABLE,WHITE,GRAY,PIT BULL,MIX
4917,CAT,Female,SMALL,13.0,EUTHANIZE,UNTREATABLE,Other,,DOMESTIC MH,
4918,CAT,Female,SMALL,15.0,EUTHANIZE,UNTREATABLE,Other,,DOMESTIC SH,
4919,DOG,Male,SMALL,0.8,ADOPTION,HEALTHY,WHITE,TAN,POMERANIAN,MIX
4925,DOG,Male,SMALL,0.98,ADOPTION,HEALTHY,WHITE,TAN,CHIHUAHUA SH,MIX
4926,CAT,Female,SMALL,0.21,ADOPTION,TREATABLE/REHAB,WHITE,Other,DOMESTIC SH,
4928,CAT,Unknown,KITTN OR PUPPY,0.1,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC SH,
4929,CAT,Unknown,KITTN OR PUPPY,0.1,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC SH,
4930,CAT,Unknown,KITTN OR PUPPY,0.1,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC SH,
4931,CAT,Unknown,KITTN OR PUPPY,0.1,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC SH,
4932,CAT,Unknown,KITTN OR PUPPY,0.1,EUTHANIZE,UNTREATABLE,GRAY TABBY,,DOMESTIC SH,
4933,CAT,Unknown,KITTN OR PUPPY,0.17,EUTHANIZE,HEALTHY,BLACK,,DOMESTIC SH,
4934,CAT,Unknown,KITTN OR PUPPY,0.17,EUTHANIZE,HEALTHY,BLACK,,DOMESTIC SH,
4937,DOG,Female,KITTN OR PUPPY,0.47,ADOPTION,HEALTHY,BR BRINDLE,BLUE,PIT BULL,
4938,DOG,Male,TOY,1.98,ADOPTION,HEALTHY,WHITE,TAN,CHIHUAHUA SH,
4939,DOG,Male,TOY,8.98,ADOPTION,HEALTHY,TAN,,CHIHUAHUA SH,
4940,DOG,Male,SMALL,3.0,ADOPTION,HEALTHY,WHITE,TAN,CHIHUAHUA SH,
4943,DOG,Male,TOY,1.98,ADOPTION,HEALTHY,TAN,,CHIHUAHUA SH,
4945,DOG,Female,TOY,0.81,ADOPTION,HEALTHY,TAN,,CHIHUAHUA SH,MIX
4946,DOG,Male,KITTN OR PUPPY,0.38,ADOPTION,HEALTHY,BROWN,BLACK,Other,
4947,DOG,Female,MED,6.96,ADOPTION,HEALTHY,WHITE,BLACK,LABRADOR RETR,BORDER COLLIE
4949,CAT,Female,KITTN OR PUPPY,0.19,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC LH,
4950,DOG,Female,LARGE,0.96,ADOPTION,HEALTHY,BLACK,,LABRADOR RETR,
4952,DOG,Female,TOY,3.0,ADOPTION,HEALTHY,WHITE,,MALTESE,Other
4956,CAT,Male,KITTN OR PUPPY,0.23,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
4957,DOG,Male,TOY,1.5,ADOPTION,HEALTHY,RED,,CHIHUAHUA SH,MIX
4959,DOG,Female,LARGE,1.0,ADOPTION,HEALTHY,WHITE,GRAY,PIT BULL,
4964,CAT,Female,SMALL,1.12,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
4966,DOG,Male,LARGE,1.47,ADOPTION,TREATABLE/REHAB,WHITE,BLACK,Other,AUST CATTLE DOG
4967,DOG,Male,TOY,3.96,ADOPTION,HEALTHY,BLACK,Other,PUG,
4969,DOG,Male,SMALL,0.81,ADOPTION,HEALTHY,TAN,,CHIHUAHUA SH,
4971,CAT,Unknown,KITTN OR PUPPY,0.18,EUTHANIZE,HEALTHY,BLACK,,DOMESTIC SH,
4972,CAT,Male,KITTN OR PUPPY,0.04,EUTHANIZE,UNTREATABLE,Other,,DOMESTIC SH,
4973,CAT,Female,KITTN OR PUPPY,0.17,EUTHANIZE,UNTREATABLE,WHITE,Other,SIAMESE,MIX
4974,CAT,Female,KITTN OR PUPPY,0.17,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
4977,CAT,Female,SMALL,2.0,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
4978,DOG,Female,TOY,2.0,ADOPTION,TREATABLE/REHAB,WHITE,TAN,CHIHUAHUA SH,
4980,DOG,Female,MED,0.69,ADOPTION,TREATABLE/REHAB,WHITE,,SIBERIAN HUSKY,
4981,CAT,Male,KITTN OR PUPPY,0.25,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
4987,DOG,Female,TOY,1.37,ADOPTION,HEALTHY,BROWN,BLACK,CHIHUAHUA SH,
4989,CAT,Male,KITTN OR PUPPY,0.12,ADOPTION,TREATABLE/REHAB,WHITE,BRN TABBY,DOMESTIC SH,
4991,CAT,Male,KITTN OR PUPPY,0.12,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
4993,DOG,Male,LARGE,1.9,ADOPTION,TREATABLE/MANAGEABLE,WHITE,BLACK,PIT BULL,
4998,DOG,Female,MED,4.52,EUTHANIZE,UNTREATABLE,WHITE,BLUE,PIT BULL,
5002,CAT,Female,SMALL,2.01,EUTHANIZE,TREATABLE/MANAGEABLE,CALICO,Other,DOMESTIC SH,
5004,CAT,Male,MED,4.97,EUTHANIZE,TREATABLE/MANAGEABLE,BROWN,BLACK,DOMESTIC SH,
5005,DOG,Female,SMALL,10.01,EUTHANIZE,UNTREATABLE,WHITE,BROWN,CHIHUAHUA SH,MIX
5006,CAT,Female,KITTN OR PUPPY,0.17,EUTHANIZE,HEALTHY,CALICO,,DOMESTIC SH,
5007,DOG,Male,LARGE,1.98,EUTHANIZE,UNTREATABLE,TAN,BLACK,ROTTWEILER,MIX
5009,CAT,Male,SMALL,2.0,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
5011,CAT,Male,SMALL,4.0,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
5012,CAT,Male,KITTN OR PUPPY,0.08,ADOPTION,TREATABLE/REHAB,BRN TABBY,,DOMESTIC SH,
5013,CAT,Male,MED,10.01,ADOPTION,HEALTHY,ORG TABBY,,DOMESTIC MH,
5014,DOG,Male,MED,0.5,ADOPTION,HEALTHY,BR BRINDLE,,PIT BULL,GERM SHEPHERD
5016,CAT,Male,KITTN OR PUPPY,0.22,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
5017,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,TORTIE,BRN TABBY,DOMESTIC SH,
5018,CAT,Male,KITTN OR PUPPY,0.33,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
5019,CAT,Female,SMALL,2.0,ADOPTION,HEALTHY,WHITE,BLUE,DOMESTIC SH,
5028,CAT,Male,MED,1.24,ADOPTION,HEALTHY,GRAY,,DOMESTIC SH,
5030,DOG,Male,SMALL,0.33,ADOPTION,HEALTHY,Other,,CHIHUAHUA SH,MIX
5031,DOG,Female,KITTN OR PUPPY,0.33,ADOPTION,TREATABLE/REHAB,BROWN,,Other,AUST SHEPHERD
5035,CAT,Male,KITTN OR PUPPY,0.1,ADOPTION,TREATABLE/REHAB,WHITE,,DOMESTIC SH,
5036,DOG,Male,LARGE,9.0,ADOPTION,HEALTHY,BROWN,,GERM SHEPHERD,Other
5037,DOG,Female,KITTN OR PUPPY,0.33,ADOPTION,TREATABLE/REHAB,WHITE,TAN,Other,AUST SHEPHERD
5038,CAT,Female,SMALL,1.98,EUTHANIZE,UNTREATABLE,GRAY,,DOMESTIC SH,
5039,DOG,Male,LARGE,1.98,EUTHANIZE,UNTREATABLE,TAN,BLACK,GERM SHEPHERD,
5040,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,WHITE,,DOMESTIC SH,
5041,CAT,Female,SMALL,4.0,ADOPTION,TREATABLE/MANAGEABLE,Other,,SIAMESE,MIX
5042,DOG,Male,SMALL,0.79,ADOPTION,HEALTHY,Other,,POMERANIAN,MIX
5046,DOG,Male,KITTN OR PUPPY,0.12,ADOPTION,TREATABLE/REHAB,Other,,PIT BULL,
5048,DOG,Male,LARGE,1.44,ADOPTION,HEALTHY,WHITE,BLACK,LABRADOR RETR,MIX
5049,DOG,Female,LARGE,2.87,ADOPTION,TREATABLE/REHAB,Other,,PIT BULL,
5050,DOG,Male,KITTN OR PUPPY,0.12,ADOPTION,TREATABLE/REHAB,Other,,PIT BULL,
5052,DOG,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,WHITE,BLACK,LABRADOR RETR,MIX
5053,DOG,Male,KITTN OR PUPPY,0.12,ADOPTION,TREATABLE/REHAB,Other,,PIT BULL,
5054,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,TORTIE,,DOMESTIC SH,
5057,CAT,Female,SMALL,6.79,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
5058,CAT,Female,SMALL,9.93,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
5060,DOG,Female,TOY,1.98,ADOPTION,TREATABLE/REHAB,TAN,,CHIHUAHUA SH,MIX
5063,DOG,Male,SMALL,1.96,ADOPTION,HEALTHY,BROWN,,CHIHUAHUA LH,
5065,CAT,Male,SMALL,6.97,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
5066,DOG,Female,SMALL,0.96,ADOPTION,HEALTHY,WHITE,TAN,CHIHUAHUA SH,MIX
5075,CAT,Male,SMALL,10.01,ADOPTION,TREATABLE/MANAGEABLE,BRN TABBY,,DOMESTIC SH,
5076,CAT,Male,SMALL,7.0,EUTHANIZE,TREATABLE/MANAGEABLE,ORG TABBY,,DOMESTIC MH,
5077,CAT,Unknown,LARGE,1.98,EUTHANIZE,UNTREATABLE,GRAY TABBY,,DOMESTIC SH,
5078,CAT,Male,SMALL,10.5,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
5079,DOG,Male,SMALL,7.97,ADOPTION,HEALTHY,BROWN,,CHIHUAHUA SH,
5080,DOG,Male,X-LRG,6.44,EUTHANIZE,TREATABLE/MANAGEABLE,TAN,BLACK,ROTTWEILER,MIX
5082,DOG,Female,TOY,2.96,ADOPTION,HEALTHY,BLACK,BLACK,Other,
5084,CAT,Male,SMALL,5.39,ADOPTION,HEALTHY,WHITE,GRAY,DOMESTIC SH,
5085,CAT,Male,MED,1.98,EUTHANIZE,UNTREATABLE,BRN TABBY,,DOMESTIC SH,
5090,CAT,Male,KITTN OR PUPPY,0.2,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
5091,CAT,Male,MED,5.6,ADOPTION,TREATABLE/MANAGEABLE,GRAY TABBY,,DOMESTIC SH,
5093,DOG,Male,LARGE,1.96,ADOPTION,HEALTHY,WHITE,GRAY,PIT BULL,
5095,DOG,Male,KITTN OR PUPPY,0.08,ADOPTION,TREATABLE/REHAB,WHITE,BLACK,PIT BULL,
5096,DOG,Female,SMALL,1.38,ADOPTION,HEALTHY,TAN,,CHIHUAHUA SH,
5097,DOG,Female,LARGE,2.0,ADOPTION,HEALTHY,BROWN,,PIT BULL,
5098,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,TREATABLE/REHAB,Other,,DOMESTIC SH,
5099,DOG,Female,KITTN OR PUPPY,0.58,ADOPTION,HEALTHY,BROWN,,PIT BULL,MIX
5100,DOG,Male,LARGE,0.96,ADOPTION,HEALTHY,Other,,LABRADOR RETR,
5101,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,TREATABLE/REHAB,Other,,DOMESTIC MH,
5105,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,TREATABLE/REHAB,GRAY TABBY,,DOMESTIC MH,
5106,DOG,Male,TOY,1.0,ADOPTION,HEALTHY,WHITE,,CHIHUAHUA SH,
5107,CAT,Female,SMALL,2.0,ADOPTION,TREATABLE/MANAGEABLE,WHITE,BRN TABBY,DOMESTIC LH,
5109,CAT,Male,MED,7.15,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
5110,CAT,Female,KITTN OR PUPPY,0.11,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
5112,CAT,Female,KITTN OR PUPPY,0.06,ADOPTION,TREATABLE/REHAB,WHITE,BRN TABBY,DOMESTIC SH,
5113,DOG,Female,LARGE,3.89,ADOPTION,TREATABLE/REHAB,RED,,PIT BULL,
5118,DOG,Male,LARGE,6.67,ADOPTION,TREATABLE/MANAGEABLE,TAN,BLACK,DOBERMAN PINSCH,MIX
5120,DOG,Male,MED,1.98,EUTHANIZE,UNTREATABLE,Other,Other,Other,
5121,CAT,Unknown,MED,1.98,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC SH,
5122,DOG,Male,MED,4.99,EUTHANIZE,UNTREATABLE,WHITE,BROWN,PIT BULL,MIX
5123,DOG,Male,LARGE,9.01,EUTHANIZE,UNTREATABLE,WHITE,BROWN,PIT BULL,
5124,DOG,Female,TOY,10.01,EUTHANIZE,UNTREATABLE,BROWN,BROWN,CHIHUAHUA SH,
5128,DOG,Female,MED,1.36,ADOPTION,HEALTHY,WHITE,BLUE,PIT BULL,MIX
5133,DOG,Female,MED,2.99,EUTHANIZE,UNTREATABLE,WHITE,BLACK,BORDER COLLIE,MIX
5134,DOG,Female,SMALL,2.98,ADOPTION,HEALTHY,TAN,,CHIHUAHUA SH,
5135,DOG,Male,SMALL,1.98,ADOPTION,HEALTHY,WHITE,TAN,POMERANIAN,MIX
5136,DOG,Male,TOY,1.44,ADOPTION,HEALTHY,TAN,BLACK,CHIHUAHUA SH,
5137,CAT,Male,SMALL,0.33,ADOPTION,HEALTHY,ORG TABBY,,DOMESTIC SH,
5139,CAT,Male,LARGE,2.5,ADOPTION,HEALTHY,WHITE,GRAY,DOMESTIC MH,
5142,CAT,Male,MED,2.0,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC LH,
5143,CAT,Male,SMALL,2.0,ADOPTION,HEALTHY,WHITE,GRAY,DOMESTIC SH,
5144,CAT,Male,SMALL,3.95,ADOPTION,HEALTHY,LYNX PT,,MIX,Other
5146,CAT,Female,KITTN OR PUPPY,0.14,ADOPTION,TREATABLE/REHAB,WHITE,BLACK,DOMESTIC SH,
5148,CAT,Male,SMALL,2.0,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC SH,
5151,CAT,Female,KITTN OR PUPPY,0.14,ADOPTION,TREATABLE/REHAB,WHITE,Other,DOMESTIC SH,
5153,CAT,Male,SMALL,2.0,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC LH,
5156,DOG,Female,LARGE,0.97,ADOPTION,HEALTHY,BLACK,,LABRADOR RETR,
5157,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC MH,
5159,DOG,Female,TOY,2.98,ADOPTION,HEALTHY,WHITE,Other,CHIHUAHUA SH,
5160,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC MH,
5161,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,ORG TABBY,,DOMESTIC MH,
